menu,depth,download_timeout,download_slot,download_latency,submenu,subtitle,title,url,topic,images,authors,date
Business,3,180.0,www.bbc.com,0.13442707061767578,Global Education,The UN's education agency says global targets on improving education are going to be missed.,"Global literacy targets off track, UN report warns",https://www.bbc.com/news/education-48909386,"([],)","https://ichef.bbci.co.uk/news/976/cpsprodpb/481B/production/_107795481_educationposter.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/C07C/production/_97667294_chad2.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/210B/production/_107795480_uganda2.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/BD4B/production/_107795484_villageschool.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/16935/production/_107796429_afghanepa.jpg",By Sean Coughlan,2019-07-08 23:09:46+00:00
Business,3,180.0,www.bbc.com,0.12630176544189453,Global Education,The UK moves upwards in global school league tables - but with low levels of life satisfaction.,UK improving in international school rankings,https://www.bbc.com/news/education-50563833,"([],)","https://ichef.bbci.co.uk/news/2048/cpsprodpb/F292/production/_109989026_pisa_top_ten_reading_640_3x-nc.png,https://ichef.bbci.co.uk/news/624/cpsprodpb/17B75/production/_105914179_blank_white_space-nc.png,https://ichef.bbci.co.uk/news/2048/cpsprodpb/9FAD/production/_109977804_rank_compare_pisa-nc.png,https://ichef.bbci.co.uk/news/624/cpsprodpb/17B75/production/_105914179_blank_white_space-nc.png,https://ichef.bbci.co.uk/news/2048/cpsprodpb/CB82/production/_109989025_pisa_top_ten_maths_640_3x-nc.png,https://ichef.bbci.co.uk/news/624/cpsprodpb/17B75/production/_105914179_blank_white_space-nc.png,https://ichef.bbci.co.uk/news/2048/cpsprodpb/114DD/production/_109977807_uk_nations_pisa-nc.png,https://ichef.bbci.co.uk/news/976/cpsprodpb/6015/production/_109979542_china.jpg,https://ichef.bbci.co.uk/news/2048/cpsprodpb/A472/production/_109989024_pisa_top_ten_science_640_3x-nc.png,https://ichef.bbci.co.uk/news/624/cpsprodpb/17B75/production/_105914179_blank_white_space-nc.png",By Sean Coughlan,2019-12-03 08:00:08+00:00
Business,3,180.0,www.bbc.com,0.13545989990234375,Global Education,"From puppets in Congress to play-based learning in war zones, here are some of the biggest milestones.",Five moments that define Sesame Street,https://www.bbc.com/news/world-us-canada-50212019,"([],)","https://ichef.bbci.co.uk/news/976/cpsprodpb/9C98/production/_109588004_gettyimages-92916724.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/0440/production/_109588010_gettyimages-1136467035.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/16F75/production/_109496049_091819_blatt_2336_2500.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/6871/production/_109573762_gettyimages-3438411.jpg,https://ichef.bbci.co.uk/news/549/cpsprodpb/13944/production/_109569108_gettyimages-1390662.jpg,https://ichef.bbci.co.uk/news/640/cpsprodpb/1226D/production/_105894347_grey_line-nc.png,https://ichef.bbci.co.uk/news/640/cpsprodpb/1226D/production/_105894347_grey_line-nc.png,https://ichef.bbci.co.uk/news/976/cpsprodpb/88FD/production/_109496053_gettyimages-74901920.jpg",By Max Matza,2019-11-10 00:41:17+00:00
Business,3,180.0,www.bbc.com,0.1519167423248291,Global Education,The foreign secretary says that poverty and extremism are often rooted in societies that do not educate girls.,Boris Johnson gets angry about education,https://www.bbc.com/news/education-43338085,"([],)","https://ichef.bbci.co.uk/news/640/cpsprodpb/53F5/production/_100339412_045411714-2.jpg,https://ichef.bbci.co.uk/news/640/cpsprodpb/13F13/production/_100338618_045411718-1.jpg,https://ichef.bbci.co.uk/news/640/cpsprodpb/11867/production/_100338717_045233829-1.jpg,https://ichef.bbci.co.uk/news/640/cpsprodpb/589B/production/_100338622_045411578-1.jpg",Sean Coughlan,2018-03-08 19:31:34+00:00
Business,3,180.0,www.bbc.com,0.12423920631408691,Global Education,The number of Chinese students coming to the UK has increased by more than 30% in the last five years.,UK universities see boom in Chinese students,https://www.bbc.com/news/education-51149445,"([],)","https://ichef.bbci.co.uk/news/2048/cpsprodpb/1293/production/_110555740_optimised-students_change_totals-nc.png,https://ichef.bbci.co.uk/news/976/cpsprodpb/F04F/production/_110591516_anonstudents.jpg,https://ichef.bbci.co.uk/news/464/cpsprodpb/4853/production/_110551581_line976.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/107BB/production/_110551576_bbcbriefingbanner.png,https://ichef.bbci.co.uk/news/464/cpsprodpb/6F63/production/_110551582_line976.jpg",Branwen Jeffreys,2020-01-21 17:00:18+00:00
Business,3,180.0,www.bbc.com,0.1427321434020996,Global Education,But Andreas Schleicher says there are reasons to be positive about the future.,Wales education 'lost its soul' says Pisa boss,https://www.bbc.com/news/uk-wales-50592611,"([],)","https://ichef.bbci.co.uk/news/976/cpsprodpb/2016/production/_109941280_pisa1.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/DCEA/production/_109945565_pisa1.png,https://ichef.bbci.co.uk/news/464/cpsprodpb/1842/production/_92801260_line464x2.jpg,https://ichef.bbci.co.uk/news/464/cpsprodpb/1842/production/_92801260_line464x2.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/B5DA/production/_109945564_pisa3.jpg",By Bethan Lewis,2019-12-01 00:05:28+00:00
Business,3,180.0,www.bbc.com,0.13254833221435547,Global Education,"(None,)",Making friends with students from other cultures,https://www.bbc.com/news/business-12686570,"([],)",,,
Business,3,180.0,www.bbc.com,0.11524701118469238,Global Education,Julia Gillard says investing in girls' education is the key to reducing global poverty.,Reaching 130 million girls with no access to school,https://www.bbc.com/news/education-51769845,"([""Women's rights"", 'Women’s rights in Africa', 'Literacy'],)","https://ichef.bbci.co.uk/news/976/cpsprodpb/6103/production/_111153842_gpeschool3.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/29E5/production/_111152701_mauritania.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/50F5/production/_111152702_ethiopiaschool.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/7805/production/_111152703_ethiopia1.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/D633/production/_111153845_gillard.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/39F3/production/_111153841_gpeschool1.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/8813/production/_111153843_gpeschool2.jpg",Sean Coughlan,2020-03-08 09:22:31+00:00
Business,3,180.0,www.bbc.com,0.09402322769165039,Global Education,Education is one of the sectors of the global economy that is being hardest hit by the pandemic.,Universities fear fall in lucrative overseas students,https://www.bbc.com/news/business-52508018,"([],)","https://ichef.bbci.co.uk/news/976/cpsprodpb/16D75/production/_112375539_gettyimages-1150270753.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/E2A9/production/_112152085_students2.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/8315/production/_112375533_gettyimages-566447111.jpg,https://ichef.bbci.co.uk/news/640/cpsprodpb/1226D/production/_105894347_grey_line-nc.png,https://ichef.bbci.co.uk/news/640/cpsprodpb/1226D/production/_105894347_grey_line-nc.png,https://ichef.bbci.co.uk/news/976/cpsprodpb/1003D/production/_112079556_vijaygovindarajan.jpg",By Jonty Bloom,2020-05-20 23:07:55+00:00
Business,3,180.0,www.bbc.com,0.07400035858154297,Global Education,"International school tests have Singapore at top, with England down in science but up in maths.",England's pupils decline 'significantly' in science,https://www.bbc.com/news/education-55223711,"(['Schools', 'Singapore'],)","https://ichef.bbci.co.uk/news/976/cpsprodpb/103A8/production/_115927466_timss1.jpg,https://ichef.bbci.co.uk/news/624/cpsprodpb/1FCD/production/_105914180_line976-nc.png,https://ichef.bbci.co.uk/news/624/cpsprodpb/1FCD/production/_105914180_line976-nc.png,https://ichef.bbci.co.uk/news/976/cpsprodpb/1477B/production/_91053838_singaporeclasses624.jpg,https://ichef.bbci.co.uk/news/624/cpsprodpb/1FCD/production/_105914180_line976-nc.png,https://ichef.bbci.co.uk/news/624/cpsprodpb/1FCD/production/_105914180_line976-nc.png,https://ichef.bbci.co.uk/news/624/cpsprodpb/1FCD/production/_105914180_line976-nc.png,https://ichef.bbci.co.uk/news/624/cpsprodpb/1FCD/production/_105914180_line976-nc.png,https://ichef.bbci.co.uk/news/624/cpsprodpb/1FCD/production/_105914180_line976-nc.png,https://ichef.bbci.co.uk/news/624/cpsprodpb/1FCD/production/_105914180_line976-nc.png,https://ichef.bbci.co.uk/news/976/cpsprodpb/6B50/production/_115927472_maths.jpg",By Sean Coughlan,2020-12-08 09:20:39+00:00
Business,3,180.0,www.bbc.com,0.08628344535827637,Global Education,"Harvard and MIT say withdrawing visas from foreign students whose courses move fully online is ""chaos"".",Elite universities sue over US visa ruling,https://www.bbc.com/news/world-us-canada-53337392,"([],)","https://ichef.bbci.co.uk/news/976/cpsprodpb/509F/production/_113293602_d67232a1-7982-4d13-841f-78b3f2c23328.jpg,https://ichef.bbci.co.uk/news/624/cpsprodpb/604B/production/_97415642_007_in_numbers_624.png,https://ichef.bbci.co.uk/news/464/cpsprodpb/15615/production/_108237578_2da0c9e0-55f1-43dc-9ec0-31846df98708.jpg,https://ichef.bbci.co.uk/news/464/cpsprodpb/15615/production/_108237578_2da0c9e0-55f1-43dc-9ec0-31846df98708.jpg",,2020-07-08 14:06:58+00:00
Business,3,180.0,www.bbc.com,0.09278297424316406,Global Education,Foreign students whose courses move completely online may have to move universities to stay in the US.,Anger over US decision on foreign students' visas,https://www.bbc.com/news/world-us-canada-53320336,"([],)","https://ichef.bbci.co.uk/news/976/cpsprodpb/11F04/production/_113267437_tv061670527.jpg,https://ichef.bbci.co.uk/news/624/cpsprodpb/604B/production/_97415642_007_in_numbers_624.png,https://ichef.bbci.co.uk/news/624/cpsprodpb/604B/production/_97415642_007_in_numbers_624.png,https://ichef.bbci.co.uk/news/464/cpsprodpb/15615/production/_108237578_2da0c9e0-55f1-43dc-9ec0-31846df98708.jpg,https://ichef.bbci.co.uk/news/464/cpsprodpb/15615/production/_108237578_2da0c9e0-55f1-43dc-9ec0-31846df98708.jpg",,2020-07-07 22:50:26+00:00
Business,3,180.0,www.bbc.com,0.1341383457183838,Global Education,The UK prime minister wants girls' education in developing countries to be a key international focus.,PM says girls' education key to stopping poverty,https://www.bbc.com/news/education-55680955,"(['Schools', 'Boris Johnson', 'Sexism', 'International aid'],)","https://ichef.bbci.co.uk/news/976/cpsprodpb/12098/production/_98008837_readingworld1.jpg,https://ichef.bbci.co.uk/news/976/cpsprodpb/163EA/production/_116541119_hi065172565.jpg",By Sean Coughlan,2021-01-16 00:48:03+00:00
